excel_row,qid,outline_code,confidence,note,question_excerpt,explanation_excerpt
2,21128,55020201,medium,Bargain and exchange,"The plaintiff was a manufacturer of sewing supplies, including thread, needles, thimbles, and patterns. The defendant was an engineer employed by the plaintiff in its product desig","Even if a claim is invalid, a promise to abandon it may be consideration for another's promise of payment if the claim could have been asserted in good faith. If the plaintiff did not believe that it was entitled to the patent rights, it could not have asserted its claim in good faith, and its promise to abandon the cl"
3,18448,55020201,medium,Bargain and exchange,"Because its property was filling up with a lot of unwanted recycled plastic it didn't want to pay to have removed, a landfill gave a construction firm free recycled plastic for use","Even if a defendant can show that a plaintiff never overtly bargained for the defendant's promise to do something, as long as a court concludes that the defendant's promise induced the plaintiff's promise or performance, the fact that the defendant didn't expressly bargain in return for that promise doesn't matter. Her"
4,18276,55020205,reviewed,adequacy/sufficiency of consideration in equitable enforcement,"The defendant, an 84-year-old woman, suffered from Parkinson's disease. She asked the plaintiff, a woman who rented space in her home, to quit her job so she could care for the def","Even in equitable claims, courts judge the adequacy of consideration as of the time the contract was made, not as of the time the contract was allegedly breached. Thus, if it appeared fair at the time of contracting, a court will find it enforceable. Here, at the time of contracting, the plaintiff gave up her job and p"
5,20446,55020500,high,Implied-in-law contracts,"A licensed physician was driving home from the hospital where she worked when she saw a pedestrian fall unconscious to the pavement. The doctor stopped her car, examined the pedest","Even though no contract exists, a party can recover from another on a quasi-contract (i.e., a contract implied-in-law) theory when he or she rendered a service to the other with the reasonable expectation of compensation. Thus, if the doctor had a reasonable expectation of payment at the time she rendered medical servi"
6,21402,54030400,high,Statute of Frauds,"The shareholder was a major shareholder of the corporation, a retail company. In January, the corporation had cash-flow problems that placed it in danger of insolvency. On January ","Ever since 1677, the Statute of Frauds has required a promise to answer for the debt of another to be in writing. Since the shareholder's promise was to pay the debt of the corporation, it would be unenforceable over the shareholder's objection if it was not in writing. Although a promise made under duress (i.e., induc"
7,17481,51060101,reviewed,buyer market-contract damages,"In January, a farmer planted a field of beans that would be ready for harvest in June. Because she expected the harvest to yield more than 5,000 bushels of beans, she entered into ","Generally, a buyer's damages for a seller's non-delivery consist of the difference between the contract price and the market price on the day of delivery. Since the market price and the contract price are identical, the restaurant has sustained no real damage as a result of the farmer's non-delivery of 1,000 bushels. ("
8,18078,51060101,reviewed,UCC breach-of-warranty damages,"A home design store contracted with a manufacturer to buy 1,000 drinking cups made of glass. In response, the manufacturer sent 1,000 drinking glasses made of plastic. The store re","If a buyer accepts defective goods, that buyer generally can sue for breach of warranty. Here, by taking the cups and reselling them, the home design store accepted the goods. Under §2-714(2), the usual damages for breach of warranty are the “difference at the time and place of acceptance between the value of the goods"
9,19119,53070100,reviewed,intended donee beneficiary,"When a landowner's daughter and a painting contractor's son announced that they were getting married, the landowner and the contractor decided to give them a house as a wedding pre","If a contract is made with the intention of benefiting a third party to whom neither of the contracting parties owes any obligation, that third party is referred to as an intended donee beneficiary of the contract. Since the landowner's intention was to give a wedding gift to his daughter and the contractor's son, the "
10,17046,53070200,high,Assignment of Rights,"When he moved into a new condo, the owner entered into a written contract with a gardener. Pursuant to its terms, the gardener was to perform certain specified gardening services i","If a promise not to assign a contract is enforceable, it is like any other promise, in that damages may be available as a remedy for its breach. An assignment made in violation of such a promise is usually regarded as valid, however. This means that even though the gardener may be entitled to recover from the owner for"
11,21434,56050601,high,Impossibility,"On March 12, the plaintiff hired the defendant to construct a three-car garage on the plaintiff's realty. After negotiation, they entered into a valid written contract that fixed t","If an event that was not foreseeable to the parties at the time a contract was formed makes performance of the contract impossible, such performance is excused. In the absence of facts that specifically suggest the contrary, destruction of the subject matter of a contract is usually held to have been unforeseeable by t"
