"fileName","originalQid","numericGeneratorName","generatorStatus","generatedExternalId","quarantineReasons","liveMatchCount","liveExternalIds","liveQuestionIds","liveChoiceCounts"
"CQ14141.md","14141","True","PASS","14141_dovesound_review","","0","","",""
"CQ14215.md","14215","True","PASS","14215_daniel_cedar_bookcases","","0","","",""
"CQ14228.md","14228","True","PASS","14228_road_to_emmaus_shuttle","","0","","",""
"CQ14238.md","14238","True","PASS","14238_lydias_barnabas_brief","","0","","",""
"CQ14411.md","14411","True","QUARANTINE","","missing or implausibly short stem","0","","",""
"CQ14507.md","14507","True","QUARANTINE","","missing or implausibly short stem","0","","",""
"CQ14554.md","14554","True","QUARANTINE","","missing or implausibly short stem","0","","",""
"CQ14555.md","14555","True","PASS","14555_private_bookstore_plea","","0","","",""
"CQ14557.md","14557","True","QUARANTINE","","unknown subject: UNKNOWN; missing call; official_key is not A-D; missing choice A; missing choice B; missing choice C; missing choice D","0","","",""
"CQ14578.md","14578","True","QUARANTINE","","B1 YAML missing barmatrix_row","0","","",""
"CQ14587.md","14587","True","QUARANTINE","","missing/unparseable B3 c3_annotation JSON block; missing/unparseable B4 program_elements JSON block; missing/unparseable B5 program_intelligence JSON block","1","14587_massiah-pretender","31b2259d-6a31-11f1-a7ad-f9e8a06a2fad","4"
"CQ14595.md","14595","True","QUARANTINE","","B1 YAML failed to parse: Nested mappings are not allowed in compact mappings at line 79, column 26:","1","14595_daniel_riverside_cabin","31b413dc-6a31-11f1-a7ad-f9e8a06a2fad","4"
"CQ14610.md","14610","True","PASS","14610_timothy_grand_jury","","1","14610_timothy_grand_jury","31b6c37b-6a31-11f1-a7ad-f9e8a06a2fad","4"
"CQ14616.md","14616","True","PASS","14616_good_shepherd_cyber_watch","","1","14616_good_shepherd_cyber_watch","31b7525b-6a31-11f1-a7ad-f9e8a06a2fad","4"
"CQ14618.md","14618","True","QUARANTINE","","unknown subject: UNKNOWN; missing or implausibly short stem; missing call; official_key is not A-D; missing choice A; missing choice B; missing choice C; missing choice D","0","","",""
"CQ14619.md","14619","True","PASS","14619","","1","14619_peters_two_burden_instruction","31b794bd-6a31-11f1-a7ad-f9e8a06a2fad","4"
