fileName,liveExternalId,questionChanged,choicesChanged,oldStemSample,newStemSample
"CQ14616.md","14616_good_shepherd_cyber_watch","true","0","Question ID: `14616_good_shepherd_cyber_watch`
Transformed from: `14616`
Source row: BARMATRIX Q# 14616 supplies the Criminal Law / Constitutional Protection of Accused Persons top","Lydia is a computer expert and a member of a private Christian law-school cyber-safety group called Good Shepherd Cyber Watch. She decided to expose people who traded illegal image"
"CQ14625.md","14625_private_retreat_felony_murder","true","0","Question ID: `14625_private_retreat_felony_murder`

At a private Christian law-student retreat, Timothy was arrested in Lydia’s apartment after neighboring guests reported sounds o","At a private Christian law-student retreat, Timothy was arrested in Lydia’s apartment after neighboring guests reported sounds of a struggle. Police arrived and found Timothy bent "
"CQ14630.md","14630_fellowship_hall_white_powder","true","0","Title: *The Fellowship-Hall White Powder Sting*

At a weekend Christian law-school retreat, Lydia wanted to make some money, so she decided to sell cocaine. She asked Peter, who wa","At a weekend Christian law-school retreat, Lydia wanted to make some money, so she decided to sell cocaine. She asked Peter, who was reputed to have access to illegal drugs, to sup"
"CQ14635.md","14635_barnabas_aspirin_capsule","true","0","Question ID: `14635_barnabas_aspirin_capsule`

Paul, a law student playing in a private Christian intramural basketball league, was charged with battery, defined as at common law. ","Paul, a law student playing in a private Christian intramural basketball league, was charged with battery, defined as at common law. At trial, a toxicology expert testified for the"
"CQ14636.md","14636_bible_cafe_basement","true","0","Question ID: `14636_bible_cafe_basement`

Ruth, who had no place to sleep, pried open the locked side door to the basement storage room of Martha’s privately owned Bible-study café","Ruth, who had no place to sleep, pried open the locked side door to the basement storage room of Martha’s privately owned Bible-study café and fell asleep. She was awakened by Paul"
"CQ14638.md","14638_galilee_garments","true","0","BARMATRIX transformed question ID: `14638_galilee_garments`
Transformed from: `14638`
Subject: CRIMINAL
Topic: Criminal Law
Subtopic: General Principles

Peter was the general mana","Peter was the general manager and chief executive officer of Galilee Garments, Inc., a private company that made Bible-pageant robes and school uniforms. Peter delegated all operat"
"CQ14640.md","14640_church_preschool_custody","true","0","Question ID: `14640_church_preschool_custody`
Transformed from: `14640`

State A has a kidnapping statute that makes it a crime for a person, including a parent, to “take a child f","State A has a kidnapping statute that makes it a crime for a person, including a parent, to “take a child from the custody of the child’s custodial parent, knowing he has no privil"
"CQ14641.md","14641_bible_trivia_attempt","true","0","Question ID: `14641_bible_trivia_attempt`

At a Christian coffeehouse after a Bible-trivia night, Esther told Daniel that she wanted to have sexual intercourse with him and that he","At a Christian coffeehouse after a Bible-trivia night, Esther told Daniel that she wanted to have sexual intercourse with him and that he should come to her apartment that night at"
"CQ14649.md","14649_pageant_warehouse","true","0","BARMATRIX Q#: `14649_pageant_warehouse`
Transformed from: `14649`
Subject: Criminal Law
Subtopic: General Principles / Attempt / Impossibility

Daniel owned an old private warehous","Daniel owned an old private warehouse where he stored Christmas pageant props. He decided to destroy the warehouse because the property taxes on the structure exceeded any income h"
"CQ14656.md","14656_fellowship_flag_football","true","0","BARMATRIX Q#14656_fellowship_flag_football

At a fellowship-hall watch party after a charity flag-football game, Peter and John were arguing about the relative merits of their favo","At a fellowship-hall watch party after a charity flag-football game, Peter and John were arguing about the relative merits of their favorite church-league football teams when Peter"
