excelRow,qid,code,outlinePath,subject,subtopic,confidence,source,reason,questionSnippet,explanationSnippet
"2","20982","64010500","Intentional Torts > Privileges","Torts","Intentional Torts","manual","manual_override","manual review: initial aggressor/self-defense privilege in intentional torts","","During the course of a fight, the role of aggressor may shift from one person to the other. Although a person is not privileged to defend himself or herself against a privileged (i.e., reasonable) response to his or her own aggression, he or she is privileged to defend himself or herself against an unprivileged attack. Although the defendant was the initial aggressor, he may have been privileged to use force to defend himself against the victim's response to the slap if the v"
"3","17488","44040502","Individual Rights > First Amendment Protections > Freedom of speech and expression","Constitutional Law","Individual Rights","high","row_text_rule","speech/expression","After many residents of the state complained of being annoyed by calls received from robocall computers, the state legislature enacted a statute that prohibited operating such a device from within the state. The company, a manufacturing com","Expression with a primarily commercial purpose may be regulated so long as the regulation directly advances a substantial government interest by the least burdensome means necessary. Whether protecting the public against annoyance by computerized telephone calls is a substantial government interest and whether the prohibition against the use of the robocall computer within the state directly advances that interest are two questions open to debate. If the answer to either ques"
"4","17598","72060201","Defenses > Justification Defenses > Self-defense","Criminal Law and Procedure","General Principles","manual","manual_override","manual review: criminal self-defense; imminent deadly force","One night, the defendant looked out his window and saw a robber taking something from his garage. The defendant went outside with a pistol and saw that the robber was already backing down the defendant's driveway in his getaway car. The def","For a self-defense claim, the harm being defended against must be reasonably imminent. While the danger that someone will be attacked tomorrow is likely insufficient to support a claim of self-defense, courts will not make the defendant wait until the absolute last second before he or she can defend himself or herself. Here, even though the robber was still getting out of his car, a court would likely find the danger was reasonably imminent. Thus, A is incorrect. In a self-de"
"5","18423","35030302","Privileges and Public Policy Exclusions > Public Policy Exclusions > Settlement negotiations and offers of compromise","Evidence","Privileges and Other Policy Exclusions","high","row_text_rule","settlement negotiations public-policy exclusion","At the trial of a personal injury action brought by the plaintiff against the defendant and arising out of an automobile accident, the plaintiff attempted to testify that immediately following the accident, the defendant offered to pay $500","For various reasons, the law recognizes a policy to encourage settlements. Since a party might refrain from making a settlement offer if he or she believed that his or her offer could be used as circumstantial evidence of his or her liability, this policy prohibits the admission as evidence of the offerer's liability of an offer to settle or compromise a claim. Since the offerer's explanation for his or her offer would not always prevent the offerer from convincing a jury of "
"6","21861","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","Evidence","Presentation of Evidence","high","row_text_rule","roles of judge and jury","The plaintiff brought an action against the defendant for injuries that he sustained when a gas stove that he purchased from the defendant exploded while he was attempting to use it. At trial, the plaintiff produced a snapshot photograph th","Generally it is the judge's function to decide whether offered evidence may be considered by the jury (i.e., is admissible), and the jury's function to decide what weight to give evidence that the judge decides they may consider. To find them admissible, a judge must determine whether photographs offered into evidence have been properly authenticated. A party seeking to authenticate a photograph must establish that the photograph is an accurate representation of what it purpo"
"7","17339","61020402","Negligence > Causation > Proximate (legal) cause","Torts","Negligence","manual","manual_override","manual review: eggshell-plaintiff/full-consequences proximate cause","A man was negligently flying his new drone when it hit a woman walking on the sidewalk nearby. According to Federal Aviation Authority law, drones were aircraft that needed to be registered. The man's drone was not. The drone did not hit th","Generally, if a tortfeasor negligently causes an injury, the tortfeasor is liable for the full consequences of the injury even though a unique or rare medical condition causes the injury to be much worse than it would have been for an ordinary person. Since the man's negligent flying of the drone knocked over the woman, the fact her medical condition caused blindness when the injury would not have done so in an ordinary person does not relieve the man from liability. Therefor"
"8","19215","85030300","Real Property Contracts > Marketable Title","Real Property","Contracts for Land","manual","manual_override","manual review: land-sale marketable title at closing despite assignment","The farmer was the owner of a peach orchard. On May 15, the seller contracted in writing to sell the land to the buyer for $200,000 under terms specified. The agreement called for the delivery of marketable title and set July 15 as the date","Generally, in the absence of an agreement by the promisee to release the promisor from his or her obligations under a contract, the promisor continues to be bound by his or her promise even after assigning his or her rights. Thus, any rights that the seller had against the buyer under the contract of sale survived the assignment by the buyer to the attorney. Even in the absence of a specific provision requiring it, a contract for the sale of real property is understood to imp"
"9","21163","95070101","Pretrial Procedures > Pleadings > Complaint","Civil Procedure","Pretrial Procedures","manual","manual_override","manual review: Rule 8 complaint pleading sufficiency","An insurance salesman sued a company in federal district court after he was passed over for a promotion. The salesman's claim arose under federal employment law. In the salesman's complaint, he gave a short statement claiming he was entitle","Generally, the federal rules only require that a complaint contain “a short and plain statement of the claim showing that the pleader is entitled to relief.” See Fed. R. Civ. P. 8(a)(2). Under Fed. R. Civ. P. 9, certain other matters, such as fraud, mistake, and special damages require a party to give more detail. Here, since the man is simply making a claim under federal employment law, he does not need to do more than make a short and plain statement of the claim. B is inco"
"10","19797","33040203","Hearsay > Hearsay Exemptions > Statements used for non-hearsay purposes","Evidence","Hearsay and Circumstances of Its Admissibility","manual","manual_override","manual review: promissory note as independent legal significance, non-hearsay purpose","At the jury trial of an action by the bank against the defendant on a promissory note, the defendant testified that the signature on the note was not his. An employee of the bank testified that she recognized the signature as the defendant'","Hearsay is defined as an out-of-court statement offered for the purpose of proving the truth of the matter asserted in that statement. The language of a promissory note creates an indebtedness. It is offered into evidence for the purpose of establishing that indebtedness (i.e., for its independent legal significance), not for the purpose of establishing the truth of any facts that it incidentally communicates. For this reason, it is not hearsay. A is incorrect because there i"
"11","19855","94030100","Removal and Remand > Removal to Federal Court","Civil Procedure","Jurisdiction and Venue","high","row_text_rule","removal","A banker, a citizen of State A, was injured in a car accident with a doctor, a citizen of State A, and a lawyer, a citizen of State B. The banker sued both the doctor and the lawyer in state court for $100,000. The banker then voluntarily d","If a case is initially not removable to federal court, a defendant has 30 days to file a notice of removal after the case becomes removable. See 28 U.S.C. §1446(b)(3). Here, the case became removable to federal court once the doctor was dismissed because there is now complete diversity between the plaintiff and defendant and the amount in controversy is over $75,000. Because the lawyer sought removal within 30 days, the case can be removed. A is incorrect because although the"
"12","21678","72010303","General Principles > Elements of Crimes > Causation","Criminal Law and Procedure","General Principles","manual","manual_override","manual review: criminal causation for involuntary manslaughter","The defendant suffered from severe anxiety. One day, he had a job interview at a new company. Because he was so nervous about the interview, he took three times the amount of anxiety pills that were prescribed for him and drank a bottle of ","If a person's behavior is grossly negligent, he or she may be liable for involuntary manslaughter if his or her conduct results in the death of another person. Nearly all states hold that the defendant's negligence must be something more than ordinary negligence. “Gross negligence” usually means the defendant disregarded a substantial danger of serious bodily harm or death. However, there must be a causal link between the gross negligence and the death. Consequently, if the d"
"13","19613","32020700","Relevance > Authentication and Identification","Evidence","Relevancy and Excluding Relevant Evidence","high","row_text_rule","authentication and identification","At the trial of a breach of contract action brought by the plaintiff against the defendant, the plaintiff testified in her own behalf. The plaintiff stated that a man who called her on the telephone said that he was the defendant and ordere","If a person's telephone number is listed in the telephone book, there is a presumption that one who properly dialed that number reached the premises of the person listed. Under FRE 901(6), this presumption combined with other circumstances, including self-identification of the speaker as the person listed, may justify the admission of voice-identification testimony by a witness who dialed the number. Since the plaintiff did not look up the defendant's number in the telephone "
"14","20496","62060202","Other Considerations > Joint Tortfeasors > Satisfaction and release","Torts","Other Torts","high","row_text_rule","satisfaction and release","The plaintiff was a passenger on a motorcycle operated by her friend when it collided with a car operated by the defendant. As a result of the collision, the plaintiff sustained injuries that required her hospitalization. Although the plain","If a plaintiff has received payment from a tortfeasor (e.g., in settlement), the amount of such payment may be deducted from the plaintiff's damage to reduce the liability of other tortfeasors. B is incorrect since this is true whether or not such payment was made pursuant to a judicial determination. C is incorrect under the collateral source rule for the reasons stated above. Ordinarily, when one joint tortfeasor pays more than his or her fair share of a judgment, he or she"
"15","20214","61020302","Negligence > Breach > Negligence per se","Torts","Negligence","high","row_text_rule","negligence per se","The defendant, the owner of a gasoline delivery service, operated a tank truck for delivering gasoline. The defendant's truck was 35 feet in length and had the words “DANGER — GASOLINE” printed on it. One day, while on the way to a gasoline","If a statute is designed to protect a class of persons to which the plaintiff belongs against risks like the one that resulted in harm, its violation may raise an inference or a presumption of negligence and may even be termed negligence per se. Since the statute prohibited parking without regard to a vehicle's contents, it was obviously not designed to protect against risks resulting from the explosion of a large quantity of gasoline. A and B are therefore incorrect. Since t"
