excelRow,status,qid,subject,topic,subtopic,selectedCode,selectedPath,confidence,source,score,margin,note
"2","contracts_remedies_questions_batch_004_node_a1_expectation_damages_lost_profits_certainty::r11::Q10","17172","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"3","contracts_remedies_questions_batch_004_node_a1_expectation_damages_lost_profits_certainty::r17::Q16","17285","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"4","contracts_remedies_questions_batch_003_node_a1_ucc_buyer_seller_remedies::r12::Q11","17793","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"5","contracts_remedies_questions_batch_003_node_a1_ucc_buyer_seller_remedies::r9::Q08","18602","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"6","contracts_remedies_questions_batch_003_node_a1_ucc_buyer_seller_remedies::r3::Q02","19018","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"7","presentation_questions_batch_001_A1_roles_judge_jury::r6::POE-CALMAP-005","19308","Evidence","Roles of judge and jury","","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","high","phrase_rule","47","14","Matched from QBank metadata using explicit legal phrase rule."
"8","presentation_questions_batch_001_A1_roles_judge_jury::r11::POE-CALMAP-010","20084","Evidence","Roles of judge and jury","","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","high","phrase_rule","47","17","Matched from QBank metadata using explicit legal phrase rule."
"9","contracts_remedies_questions_batch_002_node_a1_expectation_damages_construction_services::r2::Q01","20271","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"10","presentation_questions_batch_001_A1_roles_judge_jury::r15::POE-CALMAP-014","20641","Evidence","Roles of judge and jury","","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","high","phrase_rule","47","17","Matched from QBank metadata using explicit legal phrase rule."
"11","contracts_remedies_questions_batch_002_node_a1_expectation_damages_construction_services::r11::Q10","20678","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","15","Matched from QBank metadata using explicit legal phrase rule."
"12","presentation_questions_batch_001_A1_roles_judge_jury::r21::POE-CALMAP-020","20758","Evidence","Roles of judge and jury","","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","high","phrase_rule","47","17","Matched from QBank metadata using explicit legal phrase rule."
"13","contracts_remedies_questions_batch_001_node_a1_expectation_damages::r9::REM-DAM-EXPECT-008","20924","Contracts","Expectation damages","","51060104","Remedies > Damages > Incidental damages","high","phrase_rule","57","12","Matched from QBank metadata using explicit legal phrase rule."
"14","presentation_questions_batch_001_A1_roles_judge_jury::r4::POE-CALMAP-003","20932","Evidence","Roles of judge and jury","","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","high","phrase_rule","47","20","Matched from QBank metadata using explicit legal phrase rule."
