fileName,originalQid,liveQuestionId,liveExternalId,generatedExternalId,questionChanged,choicesChanged,oldStemSample,newStemSample
"CQ14587.md","14587","31b2259d-6a31-11f1-a7ad-f9e8a06a2fad","14587_massiah-pretender","14587_massiah-pretender","true","0","After Barnabas was indicted on federal charges of filing false safety certifications for shipping containers his company exported, his attorney filed notice that Barnabas would rai","After Barnabas was indicted on federal charges of filing false safety certifications for shipping containers his company exported, his attorney filed notice that Barnabas would rai"
"CQ14610.md","14610","31b6c37b-6a31-11f1-a7ad-f9e8a06a2fad","14610_timothy_grand_jury","14610_timothy_grand_jury","true","0","A federal grand jury was investigating drug trafficking in a city where a private Christian law-school fellowship had been used as a meeting point for several suspects. The grand j","A federal grand jury was investigating drug trafficking in a city where a private Christian law-school fellowship had been used as a meeting point for several suspects. The grand j"
"CQ14616.md","14616","31b7525b-6a31-11f1-a7ad-f9e8a06a2fad","14616_good_shepherd_cyber_watch","14616_good_shepherd_cyber_watch","true","0","Lydia is a computer expert and a member of a private Christian law-school cyber-safety group called Good Shepherd Cyber Watch. She decided to expose people who traded illegal image","Question ID: `14616_good_shepherd_cyber_watch`
Transformed from: `14616`
Source row: BARMATRIX Q# 14616 supplies the Criminal Law / Constitutional Protection of Accused Persons top"
"CQ14619.md","14619","31b794bd-6a31-11f1-a7ad-f9e8a06a2fad","14619_peters_two_burden_instruction","14619","true","0","A statute provides: A person commits the crime of rape if he has sexual intercourse with a female, not his wife, without her consent.

Peter is charged with the rape of Mary after ","A statute provides: A person commits the crime of rape if he has sexual intercourse with a female, not his wife, without her consent.

Peter is charged with the rape of Mary after "
"CQ14620.md","14620","31b7d648-6a31-11f1-a7ad-f9e8a06a2fad","14620_paul_grand_jury","14620","true","0","Paul was charged with attempted murder after a fight outside a private Bible-study dinner. At the preliminary hearing, Judge Esther heard the testimony of four prosecution witnesse","Paul was charged with attempted murder after a fight outside a private Bible-study dinner. At the preliminary hearing, Judge Esther heard the testimony of four prosecution witnesse"
"CQ14625.md","14625","31b81726-6a31-11f1-a7ad-f9e8a06a2fad","14625_private_retreat_felony_murder","14625_private_retreat_felony_murder","true","0","**Question ID:** `14625_private_retreat_felony_murder`

At a private Christian law-student retreat, Timothy was arrested in Lydia’s apartment after neighboring guests reported soun","Question ID: `14625_private_retreat_felony_murder`

At a private Christian law-student retreat, Timothy was arrested in Lydia’s apartment after neighboring guests reported sounds o"
"CQ14630.md","14630","31b85c52-6a31-11f1-a7ad-f9e8a06a2fad","14630_fellowship_hall_white_powder","14630_fellowship_hall_white_powder","true","0","At a weekend Christian law-school retreat, Lydia wanted to make some money, so she decided to sell cocaine. She asked Peter, who was reputed to have access to illegal drugs, to sup","Title: *The Fellowship-Hall White Powder Sting*

At a weekend Christian law-school retreat, Lydia wanted to make some money, so she decided to sell cocaine. She asked Peter, who wa"
"CQ14631.md","14631","31b8a1d7-6a31-11f1-a7ad-f9e8a06a2fad","14631_manna_mart","14631_manna_mart","true","0","A state statute provides: “The sale of an alcoholic beverage to any person under the age of 21 is a misdemeanor.” Ruth, who was 20 years old but looked older, entered Manna Mart, a","A state statute provides: “The sale of an alcoholic beverage to any person under the age of 21 is a misdemeanor.” Ruth, who was 20 years old but looked older, entered Manna Mart, a"
"CQ14633.md","14633","31b8db06-6a31-11f1-a7ad-f9e8a06a2fad","14633_galilee_cafe","14633_galilee_cafe","true","0","Daniel was charged with assault and battery in a jurisdiction that follows the retreat doctrine, and he pleaded self-defense. At trial, the evidence established the following: Pete","Daniel was charged with assault and battery in a jurisdiction that follows the retreat doctrine, and he pleaded self-defense. At trial, the evidence established the following: Pete"
"CQ14635.md","14635","31b9130c-6a31-11f1-a7ad-f9e8a06a2fad","14635_barnabas_aspirin_capsule","14635_barnabas_aspirin_capsule","true","0","Paul, a law student playing in a private Christian intramural basketball league, was charged with battery, defined as at common law. At trial, a toxicology expert testified for the","Question ID: `14635_barnabas_aspirin_capsule`

Paul, a law student playing in a private Christian intramural basketball league, was charged with battery, defined as at common law. "
"CQ14636.md","14636","31b95993-6a31-11f1-a7ad-f9e8a06a2fad","14636_bible_cafe_basement","14636_bible_cafe_basement","true","0","Ruth, who had no place to sleep, pried open the locked side door to the basement storage room of Martha’s privately owned Bible-study café and fell asleep. She was awakened by Paul","Question ID: `14636_bible_cafe_basement`

Ruth, who had no place to sleep, pried open the locked side door to the basement storage room of Martha’s privately owned Bible-study café"
"CQ14637.md","14637","31b9a16f-6a31-11f1-a7ad-f9e8a06a2fad","14637_peters_hilltop_car_crash","14637","true","0","Peter, a student in a Christian law-school bar-prep cohort, decided to steal Mary’s car after seeing it parked on a hill outside the classroom building. After Peter got in and star","Peter, a student in a Christian law-school bar-prep cohort, decided to steal Mary’s car after seeing it parked on a hill outside the classroom building. After Peter got in and star"
