"chance","model","thinking","question","sessionKey","prompt","outFile"
"1","nv-qwen3-next-80b/qwen/qwen3-next-80b-a3b-instruct","off","14667","c3top16fixed-r1-q14667-nv-qwen3-next-80b-qwen-qwen3-next-80b-a3b-instruct","Please do this BarMatrix Criminal Law and Procedure Question 14667. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r1-q14667-nv-qwen3-next-80b-qwen-qwen3-next-80b-a3b-instruct.json"
"1","minimax/MiniMax-M2.7","high","14675","c3top16fixed-r1-q14675-minimax-minimax-m2-7","Please do this BarMatrix Criminal Law and Procedure Question 14675. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r1-q14675-minimax-minimax-m2-7.json"
"1","nemotron-3-ultra-550b/nvidia/nemotron-3-ultra-550b-a55b","off","14587","c3top16fixed-r1-q14587-nemotron-3-ultra-550b-nvidia-nemotron-3-ultra-550b-a55b","Please do this BarMatrix Criminal Law and Procedure Question 14587. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r1-q14587-nemotron-3-ultra-550b-nvidia-nemotron-3-ultra-550b-a55b.json"
"1","openai/gpt-5.5","xhigh","14580","c3top16fixed-r1-q14580-openai-gpt-5-5","Please do this BarMatrix Criminal Law and Procedure Question 14580. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r1-q14580-openai-gpt-5-5.json"
"1","xai/grok-4.20-beta-latest-reasoning","high","14557","c3top16fixed-r1-q14557-xai-grok-4-20-beta-latest-reasoning","Please do this BarMatrix Criminal Law and Procedure Question 14557. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r1-q14557-xai-grok-4-20-beta-latest-reasoning.json"
"1","nv-mistral-small-4/mistralai/mistral-small-4-119b-2603","off","14618","c3top16fixed-r1-q14618-nv-mistral-small-4-mistralai-mistral-small-4-119b-2603","Please do this BarMatrix Criminal Law and Procedure Question 14618. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r1-q14618-nv-mistral-small-4-mistralai-mistral-small-4-119b-2603.json"
"1","nv-kimi-2-6/moonshotai/kimi-k2.6","off","14600","c3top16fixed-r1-q14600-nv-kimi-2-6-moonshotai-kimi-k2-6","Please do this BarMatrix Criminal Law and Procedure Question 14600. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r1-q14600-nv-kimi-2-6-moonshotai-kimi-k2-6.json"
"1","nv-llama-4-maverick/meta/llama-4-maverick-17b-128e-instruct","off","14678","c3top16fixed-r1-q14678-nv-llama-4-maverick-meta-llama-4-maverick-17b-128e-instruct","Please do this BarMatrix Criminal Law and Procedure Question 14678. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r1-q14678-nv-llama-4-maverick-meta-llama-4-maverick-17b-128e-instruct.json"
"1","github-copilot/gpt-5-mini","high","14595","c3top16fixed-r1-q14595-github-copilot-gpt-5-mini","Please do this BarMatrix Criminal Law and Procedure Question 14595. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r1-q14595-github-copilot-gpt-5-mini.json"
"1","openrouter/owl-alpha","high","14668","c3top16fixed-r1-q14668-openrouter-owl-alpha","Please do this BarMatrix Criminal Law and Procedure Question 14668. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r1-q14668-openrouter-owl-alpha.json"
