adjustment_id,fileName,originalQid,issue,detail,updatedFile,status,evidence
1,CQ14141.md,14141,missing_frontmatter,No leading YAML frontmatter block found,C:\FOC\Workspace\Finished\CQ14141_updated.md,PASS,leading YAML frontmatter present
2,CQ14141.md,14141,missing_pass1_sections,Only 10 numbered sections found,C:\FOC\Workspace\Finished\CQ14141_updated.md,PASS,numbered Pass-1 section count = 16
3,CQ14141.md,14141,missing_question_yaml,No Question YAML heading found,C:\FOC\Workspace\Finished\CQ14141_updated.md,PASS,Question YAML heading with fenced yaml block present
4,CQ14141.md,14141,missing_case_study,No 17-section case-study heading found,C:\FOC\Workspace\Finished\CQ14141_updated.md,PASS,case-study numbered item count = 17
5,CQ14141.md,14141,missing_c3_annotation,No c3_annotation block found,C:\FOC\Workspace\Finished\CQ14141_updated.md,PASS,json parsed as dict
6,CQ14141.md,14141,missing_program_elements,No program_elements block found,C:\FOC\Workspace\Finished\CQ14141_updated.md,PASS,json parsed as dict
7,CQ14141.md,14141,missing_program_intelligence,No program_intelligence block found,C:\FOC\Workspace\Finished\CQ14141_updated.md,PASS,json parsed as dict
8,CQ14215.md,14215,missing_frontmatter,No leading YAML frontmatter block found,C:\FOC\Workspace\Finished\CQ14215_updated.md,PASS,leading YAML frontmatter present
9,CQ14215.md,14215,missing_pass1_sections,Only 12 numbered sections found,C:\FOC\Workspace\Finished\CQ14215_updated.md,PASS,numbered Pass-1 section count = 17
10,CQ14215.md,14215,missing_c3_annotation,No c3_annotation block found,C:\FOC\Workspace\Finished\CQ14215_updated.md,PASS,json parsed as dict
11,CQ14215.md,14215,missing_program_elements,No program_elements block found,C:\FOC\Workspace\Finished\CQ14215_updated.md,PASS,json parsed as dict
12,CQ14215.md,14215,missing_program_intelligence,No program_intelligence block found,C:\FOC\Workspace\Finished\CQ14215_updated.md,PASS,json parsed as dict
13,CQ14228.md,14228,missing_frontmatter,No leading YAML frontmatter block found,C:\FOC\Workspace\Finished\CQ14228_updated.md,PASS,leading YAML frontmatter present
14,CQ14228.md,14228,missing_question_yaml,No Question YAML heading found,C:\FOC\Workspace\Finished\CQ14228_updated.md,PASS,Question YAML heading with fenced yaml block present
15,CQ14228.md,14228,missing_case_study,No 17-section case-study heading found,C:\FOC\Workspace\Finished\CQ14228_updated.md,PASS,case-study numbered item count = 17
16,CQ14228.md,14228,missing_c3_annotation,No c3_annotation block found,C:\FOC\Workspace\Finished\CQ14228_updated.md,PASS,json parsed as dict
17,CQ14228.md,14228,missing_program_elements,No program_elements block found,C:\FOC\Workspace\Finished\CQ14228_updated.md,PASS,json parsed as dict
18,CQ14228.md,14228,missing_program_intelligence,No program_intelligence block found,C:\FOC\Workspace\Finished\CQ14228_updated.md,PASS,json parsed as dict
19,CQ14238.md,14238,missing_frontmatter,No leading YAML frontmatter block found,C:\FOC\Workspace\Finished\CQ14238_updated.md,PASS,leading YAML frontmatter present
20,CQ14238.md,14238,missing_question_yaml,No Question YAML heading found,C:\FOC\Workspace\Finished\CQ14238_updated.md,PASS,Question YAML heading with fenced yaml block present
21,CQ14238.md,14238,missing_case_study,No 17-section case-study heading found,C:\FOC\Workspace\Finished\CQ14238_updated.md,PASS,case-study numbered item count = 17
22,CQ14238.md,14238,missing_c3_annotation,No c3_annotation block found,C:\FOC\Workspace\Finished\CQ14238_updated.md,PASS,json parsed as dict
23,CQ14238.md,14238,missing_program_elements,No program_elements block found,C:\FOC\Workspace\Finished\CQ14238_updated.md,PASS,json parsed as dict
24,CQ14238.md,14238,missing_program_intelligence,No program_intelligence block found,C:\FOC\Workspace\Finished\CQ14238_updated.md,PASS,json parsed as dict
25,CQ14411.md,14411,missing_pass1_sections,Only 12 numbered sections found,C:\FOC\Workspace\Finished\CQ14411_updated.md,PASS,numbered Pass-1 section count = 19
26,CQ14507.md,14507,missing_pass1_sections,Only 12 numbered sections found,C:\FOC\Workspace\Finished\CQ14507_updated.md,PASS,numbered Pass-1 section count = 19
27,CQ14554.md,14554,missing_pass1_sections,Only 11 numbered sections found,C:\FOC\Workspace\Finished\CQ14554_updated.md,PASS,numbered Pass-1 section count = 19
28,CQ14554.md,14554,missing_case_study,No 17-section case-study heading found,C:\FOC\Workspace\Finished\CQ14554_updated.md,PASS,case-study numbered item count = 17
29,CQ14555.md,14555,missing_frontmatter,No leading YAML frontmatter block found,C:\FOC\Workspace\Finished\CQ14555_updated.md,PASS,leading YAML frontmatter present
30,CQ14555.md,14555,missing_pass1_sections,Only 12 numbered sections found,C:\FOC\Workspace\Finished\CQ14555_updated.md,PASS,numbered Pass-1 section count = 16
